"A gift product was added to your cart.","A gift product was added to your cart."
"Gift products were added to your cart.","Gift products was added to your cart."
"Added if there are only 1 gift product parameterized","Added if there are only 1 gift product parameterized"
"Automatically add gift product","Automatically add gift product"
"Automatically open popup","Automatically open popup"
"Edit my choices","Edit my choices"
"If yes, the gift selection popup is opened automatically if there is at least one product to offer.","If yes, the gift selection popup is opened automatically if there is at least one product to offer."
"Maximum number of products offered","Maximum number of products offered"
"Price range","Price range"
"Select gift product:","Select gift product:"
"The gift rule is not valid.","The gift rule is not valid."
"to offer product","to offer product"
"to offer product per price range","to offer product per price range"
"We can't add this gift item to your shopping cart.","We can't add this gift item to your shopping cart."
"We found an invalid request for adding gift product.","We found an invalid request for adding gift product."
"You added gift product to your shopping cart.","You added gift product to your shopping cart."
"You entered too many gifts. You can only select %1 gifts.","You entered too many gifts. You can only select %1 gifts."
"Your session has expired","Your session has expired"
"%1: choose your %2 gifts","%1: choose your %2 gifts"
